Gender,Height,Weight
Male,173.5364903,206.4261469
Female,164.2229841,148.9623137
Male,188.0478783,217.815798
Male,177.1111644,203.895655
Female,164.0330227,127.3722382
Male,171.0203104,181.4076793
Female,160.6464689,138.144251
Male,164.9256092,181.0938696
Male,174.9004813,187.3950858
Female,170.7378559,172.1929777
Male,173.2568896,174.898717
Male,165.3822349,183.8622633
Female,168.555387,152.7570847
Female,152.3332539,111.2242901
Female,162.418707,131.4280584
Male,168.1625167,167.6296598
Male,195.7510817,249.1102416
Female,164.0798754,141.4776298
Male,183.8819802,208.436509
Male,183.2072172,216.2168147
Female,161.2536822,129.0691061
Male,178.0296681,173.8084216
Male,182.3064832,190.408985
Female,157.3217947,127.4701481
Male,171.6550981,186.9916067
Male,174.8013534,184.7185032
Female,160.6905019,139.0711443
Female,167.3298024,159.8154688
Male,183.5615395,207.5858726
Female,160.5279107,147.0291636
Female,166.0903875,140.7200929
Male,175.0830876,187.8013369
Female,148.9529376,91.13630366
Male,178.8641517,201.6730831
Female,165.9674883,164.0304165
Female,157.656339,121.9612849
Male,158.1744398,154.2806907
Male,170.8565613,192.4707696
Female,159.1950289,109.1476059
Female,164.938852,152.419352
Female,169.612573,172.8582876
Male,181.0498329,209.9001307
Male,170.8657842,171.4744458
Female,158.7882841,132.1039225
Male,180.0317281,194.0739746
Female,165.3099711,141.1253511
Male,179.8672806,196.3480292
Male,186.186739,199.1669287
Male,172.4863084,199.479458
Male,174.1382179,191.0889397
Male,178.7007268,202.0349553
Male,164.5116655,169.8987329
Female,169.1629352,130.9910532
Male,174.0938723,190.1312339
Male,177.390189,178.3924826
Male,176.3461336,196.2496978
Female,158.3578697,121.5020082
Male,176.5392643,198.7218435
Female,168.572844,153.1041048
Female,156.4314789,117.4781494
Male,176.6162203,175.818975
Female,160.2993713,133.3526983
Female,149.9341555,98.37263882
Male,164.3827665,167.1116743
Male,172.5735118,169.9274968
Female,152.7654268,107.1660506
Female,158.9011166,129.4392311
Female,157.510269,125.2861604
Male,171.8948756,193.5865354
Female,159.4001352,122.5153196
Male,175.0486427,170.658318
Female,149.9857601,112.0299458
Female,162.4846667,146.3026666
Male,159.3923089,149.759706
Female,157.0380586,126.9322728
Female,164.1061359,138.9209914
Male,172.7712782,181.9867345
Male,172.0264693,164.9331081
Male,184.5498073,191.9288235
Female,160.0638339,132.0081807
Male,180.0066667,201.9315351
Female,162.7440819,153.4650394
Male,154.4834872,137.7753101
Female,162.2541734,143.9089069
Female,161.2089448,137.8269926
Male,177.4427019,202.8059751
Female,155.1541907,117.9875697
Male,179.737501,196.7652611
Male,186.8812513,222.6861438
Female,166.8251386,157.4627626
Male,187.8901771,216.8597562
Male,179.0248665,215.4875718
Male,163.1627495,135.1717924
Male,171.8106522,166.2634667
Male,190.0974093,223.9456703
Male,176.4760101,194.6037685
Female,175.1016439,155.6898309
Female,146.1859032,108.1516882
Male,171.4624492,171.9750392
Male,186.1701905,223.870178
Female,168.7050628,151.7176512
Female,159.3875317,120.5451529
Female,161.4757824,128.5584963
Female,162.1105787,136.8259485
Female,162.8650839,142.7086679
Female,157.3416292,110.6571421
Female,158.0502351,133.8752379
Male,175.2787706,170.1715714
Female,154.2607004,129.9316495
Female,167.3569566,136.8025601
Male,186.5222416,218.6921
Male,186.2686334,222.8661997
Female,165.6301497,140.5867904
Male,177.5857189,219.3679167
Female,165.7539106,155.1645527
Male,179.5623558,199.9628571
Male,174.9515237,182.3090981
Male,176.4666935,183.1248016
Male,173.3191508,186.7426541
Female,156.7423104,120.6043393
Female,167.2100433,132.8278888
Female,163.4429843,138.8152612
Female,156.6499403,133.1889763
Female,163.9647148,137.8209447
Male,179.4242045,210.7982626
Male,189.9749521,215.2354402
Male,169.6751521,175.0437555
Female,158.4693367,110.8056293
Male,179.4446859,201.2655905
Male,185.6558919,193.9441806
Male,174.9704191,164.2149026
Male,166.7792559,169.9587892
Male,179.1552545,196.5843459
Female,166.2058167,121.1726047
Male,179.4823424,189.1397057
Male,168.5941674,175.6913553
Male,164.6466198,166.1296141
Female,155.7140752,104.8557618
Female,146.2989955,98.18279291
Female,167.3980509,126.2770399
Male,177.9192041,183.6196208
Female,157.1410637,118.7644899
Female,162.4681906,153.723444
Female,168.0244427,160.7672881
Male,175.192494,159.2852282
Male,179.9912277,209.759114
Male,157.642143,175.0711714
Male,174.0944348,201.1088923
Female,161.9015367,134.1117682
Female,160.3378465,120.2741886
Female,165.2262897,128.0390861
Male,169.4188138,164.0342193
Female,168.2688826,163.5770286
Female,171.5685248,150.8878695
Female,163.0931355,148.3430213
Male,169.9913386,182.8028285
Male,153.9598515,156.4583548
Female,148.7870426,109.0516293
Male,170.1575653,159.7616564
Female,156.0225618,118.6604207
Male,170.6239067,174.3566974
Male,168.9817961,164.7249349
Male,189.0534733,228.3751789
Male,180.3490428,194.3226014
Female,169.2006833,155.888981
Female,168.2253616,152.3126322
Female,169.2397792,145.5947116
Male,148.3535385,121.3383226
Male,177.7548375,178.3484391
Male,166.3121508,166.6541431
Male,165.2806282,180.7565256
Male,173.9025518,200.0101569
Male,177.5790454,188.3537842
Male,178.5400396,207.5085426
Male,180.2435868,188.7309428
Male,169.4005137,185.3706202
Female,161.0203818,134.3317464
Male,182.4820034,196.5058136
Female,157.8700479,134.0279128
Male,178.3426179,189.6582738
Female,154.2260718,123.2234804
Female,159.9410808,126.1849966
Male,165.744324,174.9439778
Male,185.3054344,214.5117606
Female,160.5836443,140.2728344
Male,176.7928851,193.7268956
Female,152.2905144,101.5037529
Male,164.985899,156.5447863
Male,168.5899471,167.784391
Female,167.5517965,148.8005981
Male,175.3374482,183.8520382
Male,170.6679406,175.5908819
Female,166.9992379,145.5762484
Male,176.0151209,197.3587607
Male,177.1405086,181.152035
Male,182.5180181,204.4226335
Male,167.3330577,168.1748644
Male,175.5800967,190.6921053
Male,181.2345911,207.8915092
Male,173.449086,170.4136025
Male,162.2095843,155.0812367
Male,165.6707168,160.8360745
Male,170.7642344,163.4762666
Female,161.8403965,143.7589916
Female,142.1871626,85.41753362
Male,170.4735335,168.2021671
Male,175.2709209,196.3623362
Male,177.1167741,197.6395496
Female,163.5764782,140.0335021
